 ,IDENTIFIER,PIXEL_COUNT,
1,0,69358,
2,1,83,
3,2,23,
4,3,453,
5,4,218,
6,5,136,
7,6,209,
8,7,508,
9,8,605,
10,9,1184,
11,10,894,
12,11,340,
13,12,996,
14,13,270,
15,14,491,
16,15,381,
17,16,1038,
18,17,79,
19,18,534,
20,19,408,
21,20,679,
22,21,393,
23,22,1264,
24,23,1186,
25,24,135,
26,25,54,
27,26,336,
28,27,463,
29,28,1634,
30,29,447,
31,30,80,
32,31,465,
33,32,1188,
34,33,787,
35,34,225,
36,35,1318,
37,36,614,
38,37,807,
39,38,479,
40,39,271,
41,40,307,
42,41,242,
43,42,609,
44,43,260,
45,44,142,
46,45,911,
47,46,136,
48,47,1148,
49,48,489,
50,49,118,
51,50,1550,
52,51,1009,
53,52,203,
54,53,259,
55,54,676,
56,55,29,
57,56,124,
58,57,527,
59,58,84,
60,59,1007,
61,60,194,
62,61,92,
63,62,907,
64,63,220,
65,64,431,
66,65,116,
67,66,654,
68,67,1755,
69,68,682,
70,69,1062,
71,70,312,
72,71,403,
73,72,615,
74,73,719,
75,74,272,
76,75,118,
77,76,354,
78,77,80,
79,78,865,
80,79,127,
81,80,686,
82,81,134,
83,82,1129,
84,83,293,
85,84,306,
86,85,461,
87,86,352,
88,87,647,
89,88,897,
90,89,292,
91,90,239,
92,91,921,
93,92,301,
94,93,357,
95,94,1170,
96,95,148,
97,96,139,
98,97,475,
99,98,415,
100,99,528,
101,100,709,
102,101,1167,
103,102,569,
104,103,193,
105,104,85,
106,105,123,
107,106,39,
108,107,129,
109,108,65,
110,109,94,
