 ,IDENTIFIER,PIXEL_COUNT,
1,0,77110,
2,1,3210,
3,2,534,
4,3,573,
5,4,439,
6,5,361,
7,6,1563,
8,7,54,
9,8,350,
10,9,805,
11,10,1003,
12,11,288,
13,12,88,
14,13,752,
15,14,1009,
16,15,539,
17,16,896,
18,17,477,
19,18,407,
20,19,571,
21,20,1403,
22,21,844,
23,22,305,
24,23,113,
25,24,313,
26,25,254,
27,26,45,
28,27,286,
29,28,86,
30,29,195,
31,30,3037,
32,31,1323,
33,32,103,
34,33,262,
35,34,1486,
36,35,1206,
37,36,175,
38,37,470,
39,38,585,
40,39,346,
41,40,245,
42,41,1340,
43,42,256,
44,43,468,
45,44,199,
46,45,1042,
47,46,286,
48,47,771,
49,48,724,
50,49,1638,
51,50,236,
52,51,88,
53,52,173,
54,53,934,
55,54,401,
56,55,215,
57,56,914,
58,57,80,
59,58,712,
60,59,2360,
61,60,160,
62,61,137,
63,62,1373,
64,63,34,
65,64,983,
66,65,922,
67,66,885,
68,67,356,
69,68,1340,
70,69,295,
71,70,363,
72,71,93,
73,72,15,
